Id	Name	Recycled	Cr min	Cr max	Cd min	Cd max	Dr min	Dr max	Fl min	Fl max	Hr min	Hr max	Ma min	Ma max	Pe min	Pe max	Oq min	Oq max	Sr min	Sr max	Ut min	Ut max	Er min	Er max	Container
meat_herbivore_dantooine	Dantooine Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_dathomir	Dathomirian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_endor	Endorian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_lok	Lokian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_naboo	Nabooian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_rori	Rori Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_talus	Talusian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_tatooine	Tatooinian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_yavin4	Yavinian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_kashyyyk	Kashyyykian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_herbivore_mustafar	Mustafarian Herbivore Meat		0	0	0	0	1	1000	1	700	0	0	0	0	1	700	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore	Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_corellia	Corellian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_dantooine	Dantooine Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_dathomir	Dathomirian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_endor	Endorian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_lok	Lokian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_naboo	Nabooian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_rori	Rori Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_talus	Talusian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_tatooine	Tatooinian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_yavin4	Yavinian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_kashyyyk	Kashyyykian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_carnivore_mustafar	Mustafarian Carnivore Meat		0	0	0	0	1	1000	300	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian	Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_corellia	Corellian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_dantooine	Dantooine Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_dathomir	Dathomirian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_endor	Endorian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_lok	Lokian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_naboo	Nabooian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_rori	Rori Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_talus	Talusian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_tatooine	Tatooinian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_yavin4	Yavinian Reptillian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_kashyyyk	Kashyyykian Reptilian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_reptillian_mustafar	Mustafarian Reptilian Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian	Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_corellia	Corellian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_dantooine	Dantooine Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_dathomir	Dathomirian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_endor	Endorian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_lok	Lokian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_naboo	Nabooian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_rori	Rori Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_talus	Talusian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_tatooine	Tatooinian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_yavin4	Yavinian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_kashyyyk	Kashyyykian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_avian_mustafar	Mustafarian Avian Meat		0	0	0	0	1	1000	1	700	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg	Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_corellia	Corellian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_dantooine	Dantooine Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_dathomir	Dathomirian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_endor	Endorian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_lok	Lokian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_naboo	Nabooian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_rori	Rori Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_talus	Talusian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_tatooine	Tatooinian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_yavin4	Yavinian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_kashyyyk	Kashyyykian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_egg_mustafar	Mustafarian Egg		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect	Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_corellia	Corellian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_dantooine	Dantooine Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_dathomir	Dathomirian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_endor	Endorian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_lok	Lokian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_naboo	Nabooian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_rori	Rori Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_talus	Talusian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_tatooine	Tatooinian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_yavin4	Yavinian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_kashyyyk	Kashyyykian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
meat_insect_mustafar	Mustafarian Insect Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	300	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood	Seafood		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
processed_seafood	Processed Seafood	1	0	0	0	0	200	200	200	200	0	0	0	0	200	200	200	200	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish	Fish		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_corellia	Corellian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_dantooine	Dantooine Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_dathomir	Dathomirian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_endor	Endorian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_lok	Lokian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_naboo	Nabooian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_rori	Rori Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_talus	Talusian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_tatooine	Tatooinian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_yavin4	Yavinian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_kashyyyk	Kashyyykian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_fish_mustafar	Mustafarian Fish Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean	Crustacean		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_corellia	Corellia Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_dantooine	Dantooine Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_dathomir	Dathomirian Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_endor	Endorian Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_lok	Lokian Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_naboo	Nabooian Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
seafood_crustacean_rori	Rori Crustacean Meat		0	0	0	0	1	1000	1	1000	0	0	0	0	1	1000	1	1000	0	0	0	0	0	0	object/resource_container/organic_food.iff
